CSA2020,totsites,percent_filled,rich_totsites,rich_tottree,Evar,spave,AvgDBH_small,AvgDBH_med,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Orchard Ridge/Armistead,1713,57.734967892586106,0.040280210157618214,0.06976744186046512,0.3047290760662128,0.4449993773055608,13.941777777777778,17.96243093922652,19.627908256880733,10.920121334681497,50.15166835187057,4.853387259858443,165.62184024266938
Patterson Park North & East,3588,78.87402452619844,0.020624303232998884,0.026148409893992933,0.22367085720708846,0.32368518368663823,10.051974103585657,20.62951912568306,14.638436835891381,3.92226148409894,76.78445229681978,3.4275618374558303,110.21201413427562
Penn North/Reservoir Hill,2383,74.27612253462023,0.029794376835921108,0.04011299435028248,0.25326098514380735,0.32379999069065296,9.2630625,23.481678321678324,24.153162899454404,8.305084745762711,71.2994350282486,5.310734463276836,115.70621468926554
Pigtown/Carroll Park,2745,67.35883424408014,0.024408014571948997,0.03623580313683072,0.29239450468121,0.34631369955788627,14.166459546925566,24.813008042895444,21.235930745658834,3.461330448891293,81.77393185505679,7.842076798269335,124.06706327744728
Pimlico/Arlington/Hilltop,2796,32.83261802575107,0.025393419170243205,0.07734204793028322,0.33733789718043716,0.45420402109963715,13.0175,29.599466666666668,43.99056514382403,21.67755991285403,44.55337690631808,7.952069716775599,268.082788671024
Poppleton/The Terraces/Hollins Market,2181,72.07702888583218,0.03484640073360844,0.04834605597964377,0.2700858159294456,0.3840499574965889,14.039406976744186,24.531260700389105,18.36935395814377,5.852417302798982,69.46564885496184,3.1806615776081424,108.71501272264632
Sandtown-Winchester/Harlem Park,4324,48.149861239592965,0.014801110083256245,0.03073967339097022,0.22224683918177102,0.32232596127032437,10.966718309859155,22.788503703703704,23.72374033149171,14.169068203650337,31.316042267050914,8.069164265129682,137.89625360230548
South Baltimore,2177,67.7537896187414,0.0316949931097841,0.04677966101694915,0.29028490268825113,0.4526671208285886,13.97610996563574,24.493541778975743,18.29299438202247,4.88135593220339,71.38983050847457,3.728813559322034,110.23728813559322
Southeastern,1903,52.81135049921177,0.027850761954808196,0.0527363184079602,0.26720048770089366,0.525378057726915,7.843671641791045,23.840108695652173,26.866146645865836,7.064676616915423,59.601990049751244,6.368159203980099,173.43283582089552
Southern Park Heights,2659,30.575404287326062,0.026325686348251224,0.08610086100861009,0.38222715693677034,0.4599659853940582,20.001605633802818,36.31616091954023,46.882714801444045,22.263222632226324,41.57441574415744,12.423124231242312,287.8228782287823
Southwest Baltimore,5122,53.74853572823116,0.017376024990238187,0.032328369051943334,0.23027841255460924,0.34521088836556074,12.239320547945205,22.740536263736264,18.262285714285714,6.24772974936433,67.4173628768616,5.775517617144932,128.40537595350528
The Waverlies,2464,60.26785714285714,0.02719155844155844,0.04511784511784512,0.23625857055734967,0.3972130020359012,13.725525,31.298597826086958,33.13929636048527,10.37037037037037,57.77777777777777,5.387205387205387,149.36026936026937
Upton/Druid Heights,3103,58.91073155011279,0.0235256203673864,0.039934354485776806,0.2540960637811934,0.3931984542796564,11.901714285714286,26.172528497409328,25.451443037974684,12.472647702407002,35.010940919037196,4.978118161925601,122.31947483588621
Westport/Mount Winans/Lakeland,1063,57.19661335841957,0.04891815616180621,0.08552631578947369,0.38753969972247515,0.4586201551277655,7.323156626506024,21.397719626168225,30.553410404624277,10.855263157894738,52.79605263157895,12.828947368421053,165.29605263157893
